# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
compiler.ArtifactManagerBridge.addArtifact.ms,1777377306609000000,1777377366671000000,0
compiler.ArtifactManagerBridge.commit.ms,1777377306609000000,1777377366671000000,0
compiler.ArtifactManagerBridge.getArtifactsByType.ms,1777377306609000000,1777377366671000000,2
compiler.ArtifactManagerBridge.getArtifacts.ms,1777377306609000000,1777377366671000000,0
compiler.ArtifactManagerBridge.initBridges.ms,1777377306609000000,1777377366671000000,1
compiler.ArtifactManagerBridge.findArtifact.ms,1777377306609000000,1777377366671000000,0
compiler.ArtifactManagerBridge.dropMappings.ms,1777377306609000000,1777377366671000000,0
FileNameCache.queries,1777377306609000000,1777377366671000000,505664
VFS.invertedFileNameIndex.requests,1777377306609000000,1777377366671000000,0
VFS.contentStorage.recordsStoredSize,1777377306609000000,1777377366671000000,0
VFS.contentStorage.recordsReadSize,1777377306609000000,1777377366671000000,0
VFS.contentStorage.recordsRead,1777377306609000000,1777377366671000000,0
VFS.contentStorage.recordsDeduplicated,1777377306609000000,1777377366671000000,0
VFS.fileByIdCache.hits,1777377306609000000,1777377366671000000,0
FileNameCache.totalMisses,1777377306609000000,1777377366671000000,43008
VFS.fileChildByName,1777377306609000000,1777377366671000000,1201
VFS.contentStorage.recordsDecompressionTimeUs,1777377306609000000,1777377366671000000,0
VFS.contentStorage.recordsUncompressedSize,1777377306609000000,1777377366671000000,0
VFS.contentStorage.recordsStored,1777377306609000000,1777377366671000000,0
VFS.contentStorage.recordsStoredCompressed,1777377306609000000,1777377366671000000,0
VFS.contentStorage.recordsReadDecompressed,1777377306609000000,1777377366671000000,0
VFS.fileByIdCache.misses,1777377306609000000,1777377366671000000,448
NonBlockingReadAction.failedExecutionsCount,1777377306609000000,1777377366671000000,0
WriteAction.executionsCount,1777377306609000000,1777377366671000000,11
FlushQueue.executionTimeMaxNs,1777377306609000000,1777377366671000000,0
FlushQueue.executionTimeAvgNs,1777377306609000000,1777377366671000000,0.0
FlushQueue.tasksExecuted,1777377306609000000,1777377366671000000,0
NonBlockingReadAction.finalizedExecutionsCount,1777377306609000000,1777377366671000000,3
FlushQueue.waitingTimeMaxNs,1777377306609000000,1777377366671000000,0
FlushQueue.waitingTime90PNs,1777377306609000000,1777377366671000000,0
FlushQueue.queueSizeMax,1777377306609000000,1777377366671000000,0
NonBlockingReadAction.failedExecutionTimeUs,1777377306609000000,1777377366671000000,0
FlushQueue.queueSize90P,1777377306609000000,1777377366671000000,0
FlushQueue.queueSizeAvg,1777377306609000000,1777377366671000000,0.0
AWTEventQueue.dispatchTimeAvgNs,1777377306609000000,1777377366671000000,105664.0
FlushQueue.executionTime90PNs,1777377306609000000,1777377366671000000,0
AWTEventQueue.dispatchTimeTotalNS,1777377306609000000,1777377366671000000,3943201912
NonBlockingReadAction.finalizedExecutionTimeUs,1777377306609000000,1777377366671000000,14853
AWTEventQueue.dispatchTime90PNs,1777377306609000000,1777377366671000000,149503
FlushQueue.waitingTimeAvgNs,1777377306609000000,1777377366671000000,0.0
AWTEventQueue.dispatchTimeMaxNs,1777377306609000000,1777377366671000000,149503
AWTEventQueue.eventsDispatched,1777377306609000000,1777377366671000000,2
ReadAction.executionsCount,1777377306609000000,1777377366671000000,49822
StorageLockContext.competingThreads.avg,1777377306609000000,1777377366671000000,0.0
FilePageCacheLockFree.heapBytesInUse,1777377306609000000,1777377366671000000,0
FilePageCache.pageLoadsAboveSizeThreshold,1777377306609000000,1777377366671000000,0
FilePageCacheLockFree.totalBytesRequested,1777377306609000000,1777377366671000000,0
MappedFileStorage.storages,1777377306609000000,1777377366671000000,15
FilePageCacheLockFree.totalNativeBytesAllocated,1777377306609000000,1777377366671000000,0
