# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
workspaceModel.mutableEntityStorage.add.entity.ms,1777377121637000000,1777377181747000000,19
jps.facet.change.listener.before.change.events.ms,1777377121637000000,1777377181747000000,0
workspaceModel.moduleManagerBridge.create.module.instance.ms,1777377121637000000,1777377181747000000,0
jps.library.entities.serializer.load.entities.ms,1777377121637000000,1777377181747000000,18
jps.load.initial.state.ms,1777377121637000000,1777377181747000000,10
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewParent.ms,1777377121637000000,1777377181747000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedParent.ms,1777377121637000000,1777377181747000000,0
jps.load.project.to.empty.storage.ms,1777377121637000000,1777377181747000000,71
workspaceModel.mutableEntityStorage.referrers.ms,1777377121637000000,1777377181747000000,0
jps.library.entities.serializer.save.entities.ms,1777377121637000000,1777377181747000000,0
jps.artifact.entities.serializer.save.entities.ms,1777377121637000000,1777377181747000000,0
jps.facet.change.listener.init.bridge.ms,1777377121637000000,1777377181747000000,0
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1777377121637000000,1777377181747000000,0
workspaceModel.mutableEntityStorage.resolve.ms,1777377121637000000,1777377181747000000,0
workspaceModel.sync.entities.ms,1777377121637000000,1777377181747000000,0
jps.global.get.library.by.name.ms,1777377121637000000,1777377181747000000,0
jps.project.serializers.save.ms,1777377121637000000,1777377181747000000,1
jps.global.get.library.ms,1777377121637000000,1777377181747000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewChild.ms,1777377121637000000,1777377181747000000,1
workspaceModel.mutableEntityStorage.remove.entity.ms,1777377121637000000,1777377181747000000,0
compiler.ArtifactVirtualFileListener.propertyChanged.ms,1777377121637000000,1777377181747000000,0
compiler.ArtifactManagerBridge.findArtifact.ms,1777377121637000000,1777377181747000000,0
compiler.ArtifactManagerBridge.getArtifacts.ms,1777377121637000000,1777377181747000000,0
compiler.ArtifactManagerBridge.addArtifact.ms,1777377121637000000,1777377181747000000,0
compiler.ArtifactVirtualFileListener.filePathChanged.ms,1777377121637000000,1777377181747000000,0
compiler.ArtifactManagerBridge.dropMappings.ms,1777377121637000000,1777377181747000000,0
compiler.ArtifactManagerBridge.initBridges.ms,1777377121637000000,1777377181747000000,0
compiler.ArtifactManagerBridge.commit.ms,1777377121637000000,1777377181747000000,0
compiler.ArtifactManagerBridge.getArtifactsByType.ms,1777377121637000000,1777377181747000000,4
writeAction.max.wait.ms,1777377121637000000,1777377181747000000,26
writeAction.count,1777377121637000000,1777377181747000000,11
DiskQueryRelay.taskWaitingTotalTimeUs,1777377121637000000,1777377181747000000,84963
writeAction.wait.ms,1777377121637000000,1777377181747000000,29
writeAction.median.wait.ms,1777377121637000000,1777377181747000000,0
DiskQueryRelay.taskExecutionTotalTimeUs,1777377121637000000,1777377181747000000,23103
DiskQueryRelay.tasksExecuted,1777377121637000000,1777377181747000000,104
DiskQueryRelay.tasksRequested,1777377121637000000,1777377181747000000,104
FilePageCache.capacityInBytes,1777377121637000000,1777377181747000000,503316478
FilePageCacheLockFree.totalPagesReadMs,1777377121637000000,1777377181747000000,0
FilePageCacheLockFree.totalBytesRead,1777377121637000000,1777377181747000000,0
StorageLockContext.competingThreads.max,1777377121637000000,1777377181747000000,0
FilePageCacheLockFree.totalPagesAllocated,1777377121637000000,1777377181747000000,0
FilePageCacheLockFree.totalNativeBytesReclaimed,1777377121637000000,1777377181747000000,0
FilePageCache.disposedBuffers,1777377121637000000,1777377181747000000,3
StreamlinedBlobStorage.recordsDeleted,1777377121637000000,1777377181747000000,3
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1777377121637000000,1777377181747000000,0
FilePageCache.maxCacheSizeInBytes,1777377121637000000,1777377181747000000,219168768
DirectByteBufferAllocator.hits,1777377121637000000,1777377181747000000,3
FilePageCache.pageHits,1777377121637000000,1777377181747000000,0
FilePageCache.pageFastCacheHits,1777377121637000000,1777377181747000000,3794
FilePageCacheLockFree.heapBytesInUse,1777377121637000000,1777377181747000000,0
FilePageCacheLockFree.totalHeapBytesReclaimed,1777377121637000000,1777377181747000000,0
FilePageCache.uncachedFileAccess,1777377121637000000,1777377181747000000,112
DirectByteBufferAllocator.disposed,1777377121637000000,1777377181747000000,0
FilePageCache.maxRegisteredFiles,1777377121637000000,1777377181747000000,523
MappedFileStorage.totalPagesMapped,1777377121637000000,1777377181747000000,15
FilePageCacheLockFree.housekeeperTimeSpentMs,1777377121637000000,1777377181747000000,0
StreamlinedBlobStorage.totalLiveRecordsPayloadBytes,1777377121637000000,1777377181747000000,479167
FilePageCacheLockFree.totalBytesWritten,1777377121637000000,1777377181747000000,0
