# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
workspaceModel.cachedValueWithParameters.clear.count,1777353989350000000,1777354049457000000,0
workspaceModel.workspaceFileIndexData.instances.count,1777353989350000000,1777354049457000000,1
workspaceModel.cachedValueWithParameters.calculated.count,1777353989350000000,1777354049457000000,0
workspaceModel.cachedValue.clear.count,1777353989350000000,1777354049457000000,1
workspaceModel.check.recursive.update.ms,1777353989350000000,1777354049457000000,0
workspaceModel.cachedValueWithParameters.total.get.count,1777353989350000000,1777354049457000000,0
workspaceModel.workspaceFileIndexData.processFileSets.ms,1777353989350000000,1777354049457000000,0
workspaceModel.update.unloaded.entities.ms,1777353989350000000,1777354049457000000,0
workspaceModel.to.snapshot.ms,1777353989350000000,1777354049457000000,0
workspaceModel.workspaceFileIndexContributor.registerFileSets.ms,1777353989350000000,1777354049457000000,118
workspaceModel.workspaceFileIndexData.getPackageName.ms,1777353989350000000,1777354049457000000,0
workspaceModel.workspaceFileIndexData.markDirty.ms,1777353989350000000,1777354049457000000,0
workspaceModel.entityStorageSnapshotImpl.instances.count,1777353989350000000,1777354049457000000,20
workspaceModel.workspaceFileIndexData.init.ms,1777353989350000000,1777354049457000000,76
workspaceModel.workspaceFileIndexData.getDirectoriesByPackageName.ms,1777353989350000000,1777354049457000000,1
workspaceModel.loading.from.cache.ms,1777353989350000000,1777354049457000000,167
workspaceModel.workspaceFileIndexData.onEntitiesChanged.ms,1777353989350000000,1777354049457000000,1
workspaceModel.on.before.changed.ms,1777353989350000000,1777354049457000000,30
workspaceModel.init.bridges.ms,1777353989350000000,1777354049457000000,4
workspaceModel.updates.ms,1777353989350000000,1777354049457000000,62
workspaceModel.loading.total.ms,1777353989350000000,1777354049457000000,192
workspaceModel.cachedValueWithParameters.from.cache.count,1777353989350000000,1777354049457000000,0
workspaceModel.cachedValue.total.get.count,1777353989350000000,1777354049457000000,148
workspaceModel.workspaceFileIndexData.updateDirtyEntities.ms,1777353989350000000,1777354049457000000,0
workspaceModel.updates.precise.ms,1777353989350000000,1777354049457000000,11
workspaceModel.full.replace.project.model.ms,1777353989350000000,1777354049457000000,14
workspaceModel.workspaceFileIndexData.visitFileSets.ms,1777353989350000000,1777354049457000000,2
workspaceModel.pre.handlers.ms,1777353989350000000,1777354049457000000,0
workspaceModel.cachedValue.from.cache.count,1777353989350000000,1777354049457000000,133
workspaceModel.cachedValue.calculated.count,1777353989350000000,1777354049457000000,15
workspaceModel.collect.changes.ms,1777353989350000000,1777354049457000000,0
workspaceModel.initializing.ms,1777353989350000000,1777354049457000000,3
workspaceModel.on.changed.ms,1777353989350000000,1777354049457000000,24
workspaceModel.replace.project.model.ms,1777353989350000000,1777354049457000000,0
workspaceModel.workspaceFileIndexData.getFileInfo.ms,1777353989350000000,1777354049457000000,172
workspaceModel.updates.count,1777353989350000000,1777354049457000000,4
writeAction.count,1777353989350000000,1777354049457000000,12
writeAction.median.wait.ms,1777353989350000000,1777354049457000000,0
DiskQueryRelay.tasksExecuted,1777353989350000000,1777354049457000000,104
DiskQueryRelay.taskExecutionTotalTimeUs,1777353989350000000,1777354049457000000,219631
writeAction.max.wait.ms,1777353989350000000,1777354049457000000,22
writeAction.wait.ms,1777353989350000000,1777354049457000000,23
DiskQueryRelay.taskWaitingTotalTimeUs,1777353989350000000,1777354049457000000,367411
DiskQueryRelay.tasksRequested,1777353989350000000,1777354049457000000,104
