# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
cacheStateStorage.set.counter,1777379824850000000,1777379884893000000,3
cacheStateStorage.get.counter,1777379824850000000,1777379884893000000,22
cacheStateStorage.set.duration,1777379824850000000,1777379884893000000,13
cacheStateStorage.get.duration,1777379824850000000,1777379884893000000,107
Indexes.allKeys.lookupDurationAvgMs,1777379824850000000,1777379884893000000,0.0
Indexes.stubs.lookupDurationAvgMs,1777379824850000000,1777379884893000000,0.0
Indexes.allKeys.lookupDurationMaxMs,1777379824850000000,1777379884893000000,0.0
IndexesFlusher.totalContentionQuotaSpent,1777379824850000000,1777379884893000000,16
Indexing.writer_3.totalTimeSpentWritingMs,1777379824850000000,1777379884893000000,0
Indexes.entries.lookupDurationAvgMs,1777379824850000000,1777379884893000000,0.0
IndexesFlusher.totalFlushesRetried,1777379824850000000,1777379884893000000,1
Indexing.totalTimeIndexersSleptMs,1777379824850000000,1777379884893000000,0
Indexes.allKeys.lookups,1777379824850000000,1777379884893000000,0
Indexing.writesQueuedMin,1777379824850000000,1777379884893000000,9223372036854775807
Indexing.writesQueuedMax,1777379824850000000,1777379884893000000,0
Indexes.entries.lookupDurationMaxMs,1777379824850000000,1777379884893000000,0.0
Indexes.entries.lookupDuration90PMs,1777379824850000000,1777379884893000000,0.0
Indexes.stubs.lookups,1777379824850000000,1777379884893000000,0
Indexes.stubs.lookupDurationMaxMs,1777379824850000000,1777379884893000000,0.0
Indexing.cache.totalCacheAccesses,1777379824850000000,1777379884893000000,4
Indexing.writer_0.totalTimeSpentWritingMs,1777379824850000000,1777379884893000000,0
Indexes.allKeys.lookupDuration90PMs,1777379824850000000,1777379884893000000,0.0
Indexing.writer_1.totalTimeSpentWritingMs,1777379824850000000,1777379884893000000,0
Indexes.stubs.lookupDuration90PMs,1777379824850000000,1777379884893000000,0.0
IndexesFlusher.totalFlushingTimeUs,1777379824850000000,1777379884893000000,323229
Indexing.cache.totalCacheMisses,1777379824850000000,1777379884893000000,2
IndexesFlusher.totalFlushes,1777379824850000000,1777379884893000000,58
Indexes.entries.lookups,1777379824850000000,1777379884893000000,2
Indexing.cache.totalCacheEvicted,1777379824850000000,1777379884893000000,2
Indexing.writer_2.totalTimeSpentWritingMs,1777379824850000000,1777379884893000000,0
workspaceModel.update.unloaded.entities.ms,1777379824850000000,1777379884893000000,0
workspaceModel.updates.ms,1777379824850000000,1777379884893000000,52
workspaceModel.workspaceFileIndexData.markDirty.ms,1777379824850000000,1777379884893000000,0
workspaceModel.init.bridges.ms,1777379824850000000,1777379884893000000,1
workspaceModel.workspaceFileIndexData.getDirectoriesByPackageName.ms,1777379824850000000,1777379884893000000,0
workspaceModel.cachedValue.calculated.count,1777379824850000000,1777379884893000000,13
workspaceModel.cachedValueWithParameters.calculated.count,1777379824850000000,1777379884893000000,0
workspaceModel.updates.precise.ms,1777379824850000000,1777379884893000000,12
workspaceModel.on.changed.ms,1777379824850000000,1777379884893000000,19
workspaceModel.cachedValueWithParameters.clear.count,1777379824850000000,1777379884893000000,0
workspaceModel.cachedValue.clear.count,1777379824850000000,1777379884893000000,0
workspaceModel.workspaceFileIndexData.init.ms,1777379824850000000,1777379884893000000,82
workspaceModel.collect.changes.ms,1777379824850000000,1777379884893000000,0
workspaceModel.to.snapshot.ms,1777379824850000000,1777379884893000000,1
workspaceModel.initializing.ms,1777379824850000000,1777379884893000000,1
workspaceModel.pre.handlers.ms,1777379824850000000,1777379884893000000,1
workspaceModel.updates.count,1777379824850000000,1777379884893000000,4
workspaceModel.loading.from.cache.ms,1777379824850000000,1777379884893000000,187
workspaceModel.cachedValue.from.cache.count,1777379824850000000,1777379884893000000,85
workspaceModel.workspaceFileIndexContributor.registerFileSets.ms,1777379824850000000,1777379884893000000,133
workspaceModel.entityStorageSnapshotImpl.instances.count,1777379824850000000,1777379884893000000,20
workspaceModel.loading.total.ms,1777379824850000000,1777379884893000000,192
workspaceModel.workspaceFileIndexData.instances.count,1777379824850000000,1777379884893000000,1
workspaceModel.full.replace.project.model.ms,1777379824850000000,1777379884893000000,16
workspaceModel.workspaceFileIndexData.getFileInfo.ms,1777379824850000000,1777379884893000000,98
workspaceModel.check.recursive.update.ms,1777379824850000000,1777379884893000000,0
workspaceModel.workspaceFileIndexData.onEntitiesChanged.ms,1777379824850000000,1777379884893000000,0
workspaceModel.workspaceFileIndexData.visitFileSets.ms,1777379824850000000,1777379884893000000,0
workspaceModel.on.before.changed.ms,1777379824850000000,1777379884893000000,17
workspaceModel.workspaceFileIndexData.updateDirtyEntities.ms,1777379824850000000,1777379884893000000,0
workspaceModel.cachedValueWithParameters.total.get.count,1777379824850000000,1777379884893000000,0
workspaceModel.cachedValueWithParameters.from.cache.count,1777379824850000000,1777379884893000000,0
workspaceModel.workspaceFileIndexData.getPackageName.ms,1777379824850000000,1777379884893000000,0
workspaceModel.cachedValue.total.get.count,1777379824850000000,1777379884893000000,98
workspaceModel.workspaceFileIndexData.processFileSets.ms,1777379824850000000,1777379884893000000,0
workspaceModel.replace.project.model.ms,1777379824850000000,1777379884893000000,0
compiler.ArtifactManagerBridge.commit.ms,1777379824850000000,1777379884893000000,0
compiler.ArtifactManagerBridge.findArtifact.ms,1777379824850000000,1777379884893000000,0
compiler.ArtifactManagerBridge.getArtifacts.ms,1777379824850000000,1777379884893000000,0
compiler.ArtifactManagerBridge.dropMappings.ms,1777379824850000000,1777379884893000000,0
compiler.ArtifactVirtualFileListener.filePathChanged.ms,1777379824850000000,1777379884893000000,0
compiler.ArtifactManagerBridge.addArtifact.ms,1777379824850000000,1777379884893000000,0
compiler.ArtifactManagerBridge.getArtifactsByType.ms,1777379824850000000,1777379884893000000,1
compiler.ArtifactVirtualFileListener.propertyChanged.ms,1777379824850000000,1777379884893000000,0
compiler.ArtifactManagerBridge.initBridges.ms,1777379824850000000,1777379884893000000,0
JVM.GC.collections,1777379824850000000,1777379884893000000,27
JVM.totalDirectByteBuffersBytes,1777379824850000000,1777379884893000000,221117534
JVM.usedHeapBytes,1777379824850000000,1777379884893000000,256636384
JVM.totalSafepointCount,1777379824850000000,1777379884893000000,190
OS.loadAverage,1777379824850000000,1777379884893000000,4.08740234375
JVM.maxHeapBytes,1777379824850000000,1777379884893000000,2147483648
JVM.threadCount,1777379824850000000,1777379884893000000,69
JVM.usedNativeBytes,1777379824850000000,1777379884893000000,265803512
JVM.newThreadsCount,1777379824850000000,1777379884893000000,1663
JVM.totalTimeAtSafepointsMs,1777379824850000000,1777379884893000000,116
JVM.maxThreadCount,1777379824850000000,1777379884893000000,72
JVM.totalCpuTimeMs,1777379824850000000,1777379884893000000,25856
JVM.GC.collectionTimesMs,1777379824850000000,1777379884893000000,107
JVM.totalBytesAllocated,1777379824850000000,1777379884893000000,1058994280
JVM.totalTimeToSafepointsMs,1777379824850000000,1777379884893000000,26
