# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
JVM.totalSafepointCount,1777353096532000000,1777353156542000000,395
JVM.maxThreadCount,1777353096532000000,1777353156542000000,133
JVM.usedNativeBytes,1777353096532000000,1777353156542000000,401629512
JVM.GC.collections,1777353096532000000,1777353156542000000,130
JVM.totalCpuTimeMs,1777353096532000000,1777353156542000000,126732
JVM.newThreadsCount,1777353096532000000,1777353156542000000,373
JVM.maxHeapBytes,1777353096532000000,1777353156542000000,2147483648
OS.loadAverage,1777353096532000000,1777353156542000000,8.115234375
JVM.totalTimeAtSafepointsMs,1777353096532000000,1777353156542000000,785
JVM.GC.collectionTimesMs,1777353096532000000,1777353156542000000,765
JVM.totalDirectByteBuffersBytes,1777353096532000000,1777353156542000000,398128632
JVM.threadCount,1777353096532000000,1777353156542000000,131
JVM.totalBytesAllocated,1777353096532000000,1777353156542000000,16518920312
JVM.usedHeapBytes,1777353096532000000,1777353156542000000,815583136
JVM.totalTimeToSafepointsMs,1777353096532000000,1777353156542000000,130
FlushQueue.executionTimeMaxNs,1777353096532000000,1777353156542000000,10066329599
NonBlockingReadAction.finalizedExecutionTimeUs,1777353096532000000,1777353156542000000,87802
AWTEventQueue.dispatchTimeAvgNs,1777353096532000000,1777353156542000000,667591.9241168123
FlushQueue.queueSizeAvg,1777353096532000000,1777353156542000000,12.575109649122806
AWTEventQueue.dispatchTimeMaxNs,1777353096532000000,1777353156542000000,1887436799
AWTEventQueue.dispatchTime90PNs,1777353096532000000,1777353156542000000,481279
FlushQueue.waitingTimeMaxNs,1777353096532000000,1777353156542000000,1887436799
FlushQueue.queueSizeMax,1777353096532000000,1777353156542000000,86
FlushQueue.queueSize90P,1777353096532000000,1777353156542000000,46
WriteAction.executionsCount,1777353096532000000,1777353156542000000,33
AWTEventQueue.eventsDispatched,1777353096532000000,1777353156542000000,13389
FlushQueue.executionTimeAvgNs,1777353096532000000,1777353156542000000,9125603.87116228
FlushQueue.waitingTime90PNs,1777353096532000000,1777353156542000000,121634815
FlushQueue.tasksExecuted,1777353096532000000,1777353156542000000,1824
ReadAction.executionsCount,1777353096532000000,1777353156542000000,177632
FlushQueue.executionTime90PNs,1777353096532000000,1777353156542000000,585727
NonBlockingReadAction.failedExecutionsCount,1777353096532000000,1777353156542000000,2
AWTEventQueue.dispatchTimeTotalNS,1777353096532000000,1777353156542000000,8940508359
FlushQueue.waitingTimeAvgNs,1777353096532000000,1777353156542000000,5.109791214473684E7
NonBlockingReadAction.finalizedExecutionsCount,1777353096532000000,1777353156542000000,14
NonBlockingReadAction.failedExecutionTimeUs,1777353096532000000,1777353156542000000,5164
compiler.ArtifactManagerBridge.addArtifact.ms,1777353096532000000,1777353156542000000,0
compiler.ArtifactVirtualFileListener.filePathChanged.ms,1777353096532000000,1777353156542000000,0
compiler.ArtifactManagerBridge.getArtifacts.ms,1777353096532000000,1777353156542000000,0
compiler.ArtifactManagerBridge.findArtifact.ms,1777353096532000000,1777353156542000000,0
compiler.ArtifactVirtualFileListener.propertyChanged.ms,1777353096532000000,1777353156542000000,0
compiler.ArtifactManagerBridge.getArtifactsByType.ms,1777353096532000000,1777353156542000000,11
compiler.ArtifactManagerBridge.commit.ms,1777353096532000000,1777353156542000000,0
compiler.ArtifactManagerBridge.dropMappings.ms,1777353096532000000,1777353156542000000,0
compiler.ArtifactManagerBridge.initBridges.ms,1777353096532000000,1777353156542000000,1
FilePageCacheLockFree.totalHeapBytesReclaimed,1777353096532000000,1777353156542000000,0
DirectByteBufferAllocator.reclaimed,1777353096532000000,1777353156542000000,5
DirectByteBufferAllocator.hits,1777353096532000000,1777353156542000000,5
FileChannelInterruptsRetryer.totalRetriedAttempts,1777353096532000000,1777353156542000000,0
FilePageCacheLockFree.totalPagesWritten,1777353096532000000,1777353156542000000,0
FilePageCache.capacityInBytes,1777353096532000000,1777353156542000000,503316478
StreamlinedBlobStorage.recordsRelocated,1777353096532000000,1777353156542000000,0
StreamlinedBlobStorage.recordsAllocated,1777353096532000000,1777353156542000000,34376
StorageLockContext.competingThreads.avg,1777353096532000000,1777353156542000000,0.08547008547008547
StorageLockContext.competingThreads.max,1777353096532000000,1777353156542000000,9
FilePageCacheLockFree.housekeeperTurnsDone,1777353096532000000,1777353156542000000,0
FilePageCacheLockFree.housekeeperTimeSpentMs,1777353096532000000,1777353156542000000,0
StreamlinedBlobStorage.totalLiveRecordsPayloadBytes,1777353096532000000,1777353156542000000,479025
StreamlinedBlobStorage.recordsDeleted,1777353096532000000,1777353156542000000,3
FilePageCacheLockFree.nativeBytesInUse,1777353096532000000,1777353156542000000,0
FilePageCacheLockFree.totalBytesRead,1777353096532000000,1777353156542000000,0
FilePageCacheLockFree.totalPagesReclaimed,1777353096532000000,1777353156542000000,0
MappedFileStorage.storages,1777353096532000000,1777353156542000000,16
FilePageCacheLockFree.totalNativeBytesAllocated,1777353096532000000,1777353156542000000,0
FilePageCacheLockFree.heapBytesInUse,1777353096532000000,1777353156542000000,0
MappedFileStorage.totalTimeSpentOnMappingUs,1777353096532000000,1777353156542000000,24774
FilePageCache.disposedBuffers,1777353096532000000,1777353156542000000,5
FilePageCacheLockFree.totalPagesRequested,1777353096532000000,1777353156542000000,0
FilePageCacheLockFree.totalPageAllocationsWaited,1777353096532000000,1777353156542000000,0
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1777353096532000000,1777353156542000000,395329536
FilePageCacheLockFree.totalBytesRequested,1777353096532000000,1777353156542000000,0
FilePageCache.maxCacheSizeInBytes,1777353096532000000,1777353156542000000,395329536
FilePageCache.totalPageLoadsUs,1777353096532000000,1777353156542000000,765454
FilePageCache.uncachedFileAccess,1777353096532000000,1777353156542000000,706
FilePageCacheLockFree.totalBytesWritten,1777353096532000000,1777353156542000000,0
FilePageCache.pageLoadsAboveSizeThreshold,1777353096532000000,1777353156542000000,0
MappedFileStorage.totalPagesMapped,1777353096532000000,1777353156542000000,16
FilePageCache.pageHits,1777353096532000000,1777353156542000000,502309
StorageLockContext.competingThreads.90P,1777353096532000000,1777353156542000000,0
FilePageCache.totalPageDisposalsUs,1777353096532000000,1777353156542000000,1820
FilePageCacheLockFree.totalPagesWriteMs,1777353096532000000,1777353156542000000,0
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1777353096532000000,1777353156542000000,0
FilePageCache.maxRegisteredFiles,1777353096532000000,1777353156542000000,523
FilePageCacheLockFree.totalPagesReadMs,1777353096532000000,1777353156542000000,0
FilePageCacheLockFree.totalHeapBytesAllocated,1777353096532000000,1777353156542000000,0
MappedFileStorage.totalBytesMapped,1777353096532000000,1777353156542000000,202637312
DirectByteBufferAllocator.misses,1777353096532000000,1777353156542000000,379
FilePageCacheLockFree.housekeeperTurnsSkipped,1777353096532000000,1777353156542000000,0
FilePageCacheLockFree.totalPagesHandedOver,1777353096532000000,1777353156542000000,0
FilePageCacheLockFree.totalPagesRequestsMs,1777353096532000000,1777353156542000000,0
DirectByteBufferAllocator.disposed,1777353096532000000,1777353156542000000,0
FilePageCache.pageLoads,1777353096532000000,1777353156542000000,384
FilePageCacheLockFree.totalClosedStoragesReclaimed,1777353096532000000,1777353156542000000,0
FilePageCache.pageFastCacheHits,1777353096532000000,1777353156542000000,6318762
FilePageCacheLockFree.totalPagesAllocated,1777353096532000000,1777353156542000000,0
StreamlinedBlobStorage.totalLiveRecordsCapacityBytes,1777353096532000000,1777353156542000000,2453863
FilePageCacheLockFree.totalNativeBytesReclaimed,1777353096532000000,1777353156542000000,0
Indexing.cache.totalCacheAccesses,1777353096532000000,1777353156542000000,21066034
Indexes.entries.lookupDuration90PMs,1777353096532000000,1777353156542000000,4.0
Indexing.writer_2.totalTimeSpentWritingMs,1777353096532000000,1777353156542000000,5653
Indexing.cache.totalCacheEvicted,1777353096532000000,1777353156542000000,2558026
Indexing.writesQueuedAvg,1777353096532000000,1777353156542000000,243.85981308411215
Indexes.stubs.lookups,1777353096532000000,1777353156542000000,0
Indexes.entries.lookupDurationAvgMs,1777353096532000000,1777353156542000000,3.0
Indexing.writer_1.totalTimeSpentWritingMs,1777353096532000000,1777353156542000000,3007
Indexes.allKeys.lookupDurationAvgMs,1777353096532000000,1777353156542000000,0.0
Indexes.stubs.lookupDurationMaxMs,1777353096532000000,1777353156542000000,0.0
Indexes.stubs.lookupDuration90PMs,1777353096532000000,1777353156542000000,0.0
IndexesFlusher.totalFlushesRetried,1777353096532000000,1777353156542000000,23
IndexesFlusher.totalFlushingTimeUs,1777353096532000000,1777353156542000000,1376433
Indexing.totalTimeIndexersSleptMs,1777353096532000000,1777353156542000000,57696
